"CGS,CGS_IP_CG,Smoother,Smoother_JAC,pre;0,post;1,numCore;64",101.75,3497.77,32
"CGS,CGS_IP_CG,Smoother,Smoother_GS,pre;0,post;1,numCore;64",101.79,2951.86,27
"CGS,CGS_IP_CG,Smoother,Smoother_GSAC,pre;0,post;1,numCore;64",106.32,2048.3,18
"CGS,CGS_IP_CG,Smoother,Smoother_GSACBE,pre;0,post;1,numCore;64",430.01,3541.68,8
"CGS,CGS_IP_CG,Smoother,Smoother_GSRB,pre;0,post;1,numCore;64",118.09,4023.6,32
"CGS,CGS_IP_CG,Smoother,Smoother_GSRBAC,pre;0,post;1,numCore;64",122.95,1828.38,14
"CGS,CGS_IP_AMG,Smoother,Smoother_JAC,pre;0,post;1,numCore;64",103.59,3556.58,32
"CGS,CGS_IP_AMG,Smoother,Smoother_GS,pre;0,post;1,numCore;64",102.54,2973.29,27
"CGS,CGS_IP_AMG,Smoother,Smoother_GSAC,pre;0,post;1,numCore;64",106.11,2046.6,18
"CGS,CGS_IP_AMG,Smoother,Smoother_GSACBE,pre;0,post;1,numCore;64",416.52,3421.89,8
"CGS,CGS_IP_AMG,Smoother,Smoother_GSRB,pre;0,post;1,numCore;64",119.88,4063.6,32
"CGS,CGS_IP_AMG,Smoother,Smoother_GSRBAC,pre;0,post;1,numCore;64",123.34,1828.24,14
"CGS,CGS_RED_AMG,Smoother,Smoother_JAC,pre;0,post;1,numCore;64",118.91,4047.31,32
"CGS,CGS_RED_AMG,Smoother,Smoother_GS,pre;0,post;1,numCore;64",116.24,3341.75,27
"CGS,CGS_RED_AMG,Smoother,Smoother_GSAC,pre;0,post;1,numCore;64",120.01,2295.72,18
"CGS,CGS_RED_AMG,Smoother,Smoother_GSACBE,pre;0,post;1,numCore;64",430.93,3531.52,8
"CGS,CGS_RED_AMG,Smoother,Smoother_GSRB,pre;0,post;1,numCore;64",133.76,4505.73,32
"CGS,CGS_RED_AMG,Smoother,Smoother_GSRBAC,pre;0,post;1,numCore;64",137.25,2019.68,14
"CGS,CGS_IP_CG,Smoother,Smoother_JAC,pre;0,post;2,numCore;64",126.93,2154.26,16
"CGS,CGS_IP_CG,Smoother,Smoother_GS,pre;0,post;2,numCore;64",126.89,1881.97,14
"CGS,CGS_IP_CG,Smoother,Smoother_GSAC,pre;0,post;2,numCore;64",134.62,1422.68,10
"CGS,CGS_IP_CG,Smoother,Smoother_GSACBE,pre;0,post;2,numCore;64",777.81,3968.43,5
"CGS,CGS_IP_CG,Smoother,Smoother_GSRB,pre;0,post;2,numCore;64",160.21,2856.33,17
"CGS,CGS_IP_CG,Smoother,Smoother_GSRBAC,pre;0,post;2,numCore;64",168.74,1585.9,9
"CGS,CGS_IP_AMG,Smoother,Smoother_JAC,pre;0,post;2,numCore;64",127.05,2156.53,16
"CGS,CGS_IP_AMG,Smoother,Smoother_GS,pre;0,post;2,numCore;64",125.63,1864.48,14
"CGS,CGS_IP_AMG,Smoother,Smoother_GSAC,pre;0,post;2,numCore;64",132.85,1404.8,10
"CGS,CGS_IP_AMG,Smoother,Smoother_GSACBE,pre;0,post;2,numCore;64",752.31,3830.49,5
"CGS,CGS_IP_AMG,Smoother,Smoother_GSRB,pre;0,post;2,numCore;64",160.05,2858.04,17
"CGS,CGS_IP_AMG,Smoother,Smoother_GSRBAC,pre;0,post;2,numCore;64",167,1574.71,9
"CGS,CGS_RED_AMG,Smoother,Smoother_JAC,pre;0,post;2,numCore;64",142.31,2400.29,16
"CGS,CGS_RED_AMG,Smoother,Smoother_GS,pre;0,post;2,numCore;64",139.34,2057.03,14
"CGS,CGS_RED_AMG,Smoother,Smoother_GSAC,pre;0,post;2,numCore;64",146.71,1542.32,10
"CGS,CGS_RED_AMG,Smoother,Smoother_GSACBE,pre;0,post;2,numCore;64",766.65,3899.31,5
"CGS,CGS_RED_AMG,Smoother,Smoother_GSRB,pre;0,post;2,numCore;64",173.81,3094.31,17
"CGS,CGS_RED_AMG,Smoother,Smoother_GSRBAC,pre;0,post;2,numCore;64",180.87,1696.89,9
"CGS,CGS_IP_CG,Smoother,Smoother_JAC,pre;0,post;3,numCore;64",152.05,1761.48,11
"CGS,CGS_IP_CG,Smoother,Smoother_GS,pre;0,post;3,numCore;64",150.94,1426.41,9
"CGS,CGS_IP_CG,Smoother,Smoother_GSAC,pre;0,post;3,numCore;64",161.65,1356.26,8
"CGS,CGS_IP_CG,Smoother,Smoother_GSACBE,pre;0,post;3,numCore;64",1129.36,5732.28,5
"CGS,CGS_IP_CG,Smoother,Smoother_GSRB,pre;0,post;3,numCore;64",201.46,2302.74,11
"CGS,CGS_IP_CG,Smoother,Smoother_GSRBAC,pre;0,post;3,numCore;64",212.18,1539.3,7
"CGS,CGS_IP_AMG,Smoother,Smoother_JAC,pre;0,post;3,numCore;64",151.52,1750.74,11
"CGS,CGS_IP_AMG,Smoother,Smoother_GS,pre;0,post;3,numCore;64",148.63,1406.13,9
"CGS,CGS_IP_AMG,Smoother,Smoother_GSAC,pre;0,post;3,numCore;64",159.27,1336.18,8
"CGS,CGS_IP_AMG,Smoother,Smoother_GSACBE,pre;0,post;3,numCore;64",1090.99,5524.61,5
"CGS,CGS_IP_AMG,Smoother,Smoother_GSRB,pre;0,post;3,numCore;64",199.77,2294.84,11
"CGS,CGS_IP_AMG,Smoother,Smoother_GSRBAC,pre;0,post;3,numCore;64",209.83,1528.59,7
"CGS,CGS_RED_AMG,Smoother,Smoother_JAC,pre;0,post;3,numCore;64",166.68,1918.21,11
"CGS,CGS_RED_AMG,Smoother,Smoother_GS,pre;0,post;3,numCore;64",162.49,1530.33,9
"CGS,CGS_RED_AMG,Smoother,Smoother_GSAC,pre;0,post;3,numCore;64",173.41,1448.7,8
"CGS,CGS_RED_AMG,Smoother,Smoother_GSACBE,pre;0,post;3,numCore;64",1102.71,5590.35,5
"CGS,CGS_RED_AMG,Smoother,Smoother_GSRB,pre;0,post;3,numCore;64",214,2447.61,11
"CGS,CGS_RED_AMG,Smoother,Smoother_GSRBAC,pre;0,post;3,numCore;64",224.22,1627.78,7
"CGS,CGS_IP_CG,Smoother,Smoother_JAC,pre;0,post;4,numCore;64",176.02,1658.31,9
"CGS,CGS_IP_CG,Smoother,Smoother_GS,pre;0,post;4,numCore;64",173.9,1270.6,7
"CGS,CGS_IP_CG,Smoother,Smoother_GSAC,pre;0,post;4,numCore;64",189.45,1380.65,7
"CGS,CGS_IP_CG,Smoother,Smoother_GSACBE,pre;0,post;4,numCore;64",1477.41,5990.76,4
"CGS,CGS_IP_CG,Smoother,Smoother_GSRB,pre;0,post;4,numCore;64",241.85,2248.32,9
